OBS_TEMP,281.149994
ROBOT_TEMP,292.149994
MDLPARS,0,0.9997970635,-0.006807024613,0,0.004483847745,0.9998102979,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
EQUINOX,J2000.0
CENTRE,23 25 40.09,-22 03 10.0 #Field centre
UTTIME,14 00 00.00 #Target observing time
UTDATE,2021 07 10 #Target observing date
PLATEID,a test_plateID
LABEL,350_m20_comissioning Tile 000
TILING_DATE,2021 07 10 # Date the tile was created/configured
PROXIMITY,220 # tiling proximity value in arcseconds
#,probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
0,1,2382337995959015040,-175.98443399051587,-25.81001052325553,177.309022379565,-1.4255738929568,0.145622596536116,4.71198881768667,351.29303,-22.794483,16.9918003082275,16.1728000640869,15.8544998168945,15.7292995452881,15.6110000610352,16.232368,16.824743,15.505235,-99.0,1.0,0.0,19.0,7.6318475220404,9.66311638109532,1.0,-28031.610204084,-167623.037714286,1.0,-175432.34,-25729.04,,P,rectangular_magnet,R01,1.0,I,1.0,A,-8.32063254954079,4.71198881768667,circular_magnet,Yel,1.0,TR,0.0,0.0
1,2,2385491876343673472,93.88175226707932,-117.83754540424212,150.105434567363,0.859789948350644,2.24352484235167,4.89945041317856,350.88254,-21.651638,17.3610992431641,16.4466991424561,16.0912990570068,15.9327001571655,15.8138999938965,16.506777,17.142677,15.741824,-99.0,1.0,0.0,19.0,20.8703766217291,-4.26568872761878,1.0,-120802.35020408,90659.9322857146,1.0,93534.05,-117401.12,,P,rectangular_magnet,R02,1.0,I,2.0,B,-139.26233530826278,4.89945041317856,circular_magnet,Yel,1.0,TR,0.0,0.0
2,3,2391502734613726464,153.81473535084226,-76.19335659415093,171.093974646763,4.49160734044524,2.68166555173969,1.80994178870555,351.07626,-21.400997,18.4682006835938,17.8246002197266,17.5625991821289,17.4379997253418,17.320499420166,17.882627,18.433983,17.190617,-99.0,1.0,0.0,19.0,-1.50845579158169,-2.64811220612623,1.0,-77021.6302040833,147304.798285714,1.0,153314.72,-75945.67,,P,rectangular_magnet,R03,1.0,I,3.0,C,12.649856162507376,1.80994178870555,circular_magnet,Yel,1.0,TL,0.0,0.0
3,4,2391469263933562112,154.72974716332496,65.0192182068053,167.277614198687,1.30673495945843,3.53940041214094,4.05051985449707,351.71756,-21.39967,18.8110008239746,17.7908000946045,17.3714008331299,17.169900894165,17.0421009063721,17.8264,18.580988,17.00623,-99.0,1.0,0.0,19.0,-2.21072835934816,-3.06878254805644,1.0,67912.169795917,147604.700285714,1.0,154215.32,64803.05,,P,rectangular_magnet,R04,1.0,I,4.0,D,-164.8703981191664,4.05051985449707,circular_magnet,Yel,1.0,TR,0.0,0.0
4,5,2391449232206408832,116.44216389808406,128.82164397569366,173.09047678534,2.95051910321402,3.97742216032415,5.25628225006946,352.00607,-21.562555,18.5839004516602,17.7103996276855,17.355899810791,17.1963996887207,17.0655002593994,17.7724,18.38925,16.995668,-99.0,1.0,0.0,19.0,2.82649726243257,-5.04828017428436,1.0,133115.429795924,110792.690285714,1.0,116067.99,128407.69,,P,rectangular_magnet,R05,1.0,I,5.0,I,100.94770801311194,5.25628225006946,circular_magnet,Yel,1.0,TR,0.0,0.0
5,6,2385475551172647680,65.6843047631114,-94.84393089877572,114.810102699772,1.10983157857593,2.17650577243534,5.21651111332018,350.98468,-21.770964,18.0963001251221,16.8708992004395,16.1065998077393,15.7699003219604,15.5715999603271,16.72494,17.702608,15.722382,-99.0,1.0,0.0,19.0,16.7008522389301,-16.2643512628851,1.0,-97718.7102040754,63692.2562857144,1.0,65366.61,-94385.2,,P,rectangular_magnet,R06,1.0,I,6.0,J,-153.58866542274257,5.21651111332018,circular_magnet,Gre,1.0,TR,0.0,0.0
6,7,2391418209657328128,55.02445864926422,34.18692872506287,64.2219131312872,3.65235945118333,3.69752991868194,6.23801483968098,351.57568,-21.819237,18.3430995941162,17.7073993682861,17.4190998077393,17.357400894165,17.2145004272461,17.791643,18.258633,17.067993,-99.0,1.0,0.0,19.0,-3.00280624189495,-9.91086024707467,1.0,35847.2897959136,52782.558285714,1.0,54550.49,33892.45,,P,rectangular_magnet,R07,1.0,I,7.0,K,60.7352181824773,6.23801483968098,circular_magnet,Blu,1.0,TR,0.0,0.0
7,8,2391438958643976192,97.55307890866092,19.52461831818252,98.9297576640972,3.99701272977075,3.33912622656832,0.657886503202431,351.50983,-21.637728,18.974100112915,17.7563991546631,16.7968997955322,16.3806991577148,16.1270008087158,17.48162,18.663565,16.412132,-99.0,1.0,0.0,19.0,8.8423086978791,8.32563700912958,1.0,20965.1897959238,93803.5922857144,1.0,97005.93,19415.11,,P,rectangular_magnet,R08,1.0,I,8.0,L,40.988039924071614,0.657886503202431,circular_magnet,Gre,1.0,TR,0.0,0.0
8,9,2388419768434151552,62.01135791888079,104.3126960853758,120.794985441412,3.20989858449677,4.17604140308806,5.3170424885883,351.89682,-21.79056,19.12619972229,17.9862995147705,17.3551998138428,17.090799331665,16.88330078125,17.942373,18.753935,17.0119,-99.0,1.0,0.0,19.0,-1.0400080745398,-5.05442850734557,1.0,108424.929795917,59263.5602857144,1.0,61726.22,103833.05,,P,rectangular_magnet,R09,1.0,I,9.0,M,86.0863584433178,5.3170424885883,circular_magnet,Gre,1.0,TR,0.0,0.0
9,10,2388399805425924224,14.006294062892938,136.29052654867473,136.450335148965,0.108011919431791,4.60998056976225,1.78121665684913,352.0414,-21.994837,17.1375999450684,16.2458000183105,15.8731002807617,15.7327995300293,15.5946998596191,16.28562,16.93848,15.514439,-99.0,1.0,0.0,19.0,-11.0486764796863,-0.950602755186481,1.0,141100.009795921,13096.9582857141,1.0,13949.25,135735.45,,P,rectangular_magnet,R10,1.0,I,10.0,N,-96.18862712054896,1.78121665684913,circular_magnet,Gre,1.0,TL,0.0,0.0
