probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type
1,2382337995959015040,-175.43234,-25.72904,177.309022379565,-1.4255738929568,0.145622596536116,4.71198881768667,351.29303,-22.794483,16.9918003082275,16.1728000640869,15.8544998168945,15.7292995452881,15.6110000610352,16.232368,16.824743,15.505235,-99.0,1.0,0.0,19.0,7.6318475220404,9.66311638109532,1.0,-28031.610204084,-167623.037714286,1.0,-175432.34,-25729.04,,P
2,2385491876343673472,93.53405,-117.40112,150.105434567363,0.859789948350644,2.24352484235167,4.89945041317856,350.88254,-21.651638,17.3610992431641,16.4466991424561,16.0912990570068,15.9327001571655,15.8138999938965,16.506777,17.142677,15.741824,-99.0,1.0,0.0,19.0,20.8703766217291,-4.26568872761878,1.0,-120802.35020408,90659.9322857146,1.0,93534.05,-117401.12,,P
3,2391502734613726464,153.31472,-75.94567,171.093974646763,4.49160734044524,2.68166555173969,1.80994178870555,351.07626,-21.400997,18.4682006835938,17.8246002197266,17.5625991821289,17.4379997253418,17.320499420166,17.882627,18.433983,17.190617,-99.0,1.0,0.0,19.0,-1.50845579158169,-2.64811220612623,1.0,-77021.6302040833,147304.798285714,1.0,153314.72,-75945.67,,P
4,2391469263933562112,154.21532,64.80305,167.277614198687,0.906413677303189,3.53940041214094,3.65019857234183,351.71756,-21.39967,18.8110008239746,17.7908000946045,17.3714008331299,17.169900894165,17.0421009063721,17.8264,18.580988,17.00623,-99.0,1.0,0.0,19.0,-2.21072835934816,-3.06878254805644,1.0,67912.169795917,147604.700285714,1.0,154215.32,64803.05,,P
5,2391449232206408832,116.06799,128.40769,173.09047678534,2.95051910321402,3.97742216032415,5.25628225006946,352.00607,-21.562555,18.5839004516602,17.7103996276855,17.355899810791,17.1963996887207,17.0655002593994,17.7724,18.38925,16.995668,-99.0,1.0,0.0,19.0,2.82649726243257,-5.04828017428436,1.0,133115.429795924,110792.690285714,1.0,116067.99,128407.69,,P
6,2385475551172647680,65.36661,-94.3852,114.810102699772,1.10983157857593,2.17650577243534,5.21651111332018,350.98468,-21.770964,18.0963001251221,16.8708992004395,16.1065998077393,15.7699003219604,15.5715999603271,16.72494,17.702608,15.722382,-99.0,1.0,0.0,19.0,16.7008522389301,-16.2643512628851,1.0,-97718.7102040754,63692.2562857144,1.0,65366.61,-94385.2,,P
7,2391418209657328128,54.55049,33.89245,64.2219131312872,3.65235945118333,3.69752991868194,6.23801483968098,351.57568,-21.819237,18.3430995941162,17.7073993682861,17.4190998077393,17.357400894165,17.2145004272461,17.791643,18.258633,17.067993,-99.0,1.0,0.0,19.0,-3.00280624189495,-9.91086024707467,1.0,35847.2897959136,52782.558285714,1.0,54550.49,33892.45,,P
8,2391438958643976192,97.00593,19.41511,98.9297576640972,4.03225143707102,3.33912622656832,0.693125210502702,351.50983,-21.637728,18.974100112915,17.7563991546631,16.7968997955322,16.3806991577148,16.1270008087158,17.48162,18.663565,16.412132,-99.0,1.0,0.0,19.0,8.8423086978791,8.32563700912958,1.0,20965.1897959238,93803.5922857144,1.0,97005.93,19415.11,,P
9,2388419768434151552,61.72622,103.83305,120.794985441412,3.20989858449677,4.17604140308806,5.3170424885883,351.89682,-21.79056,19.12619972229,17.9862995147705,17.3551998138428,17.090799331665,16.88330078125,17.942373,18.753935,17.0119,-99.0,1.0,0.0,19.0,-1.0400080745398,-5.05442850734557,1.0,108424.929795917,59263.5602857144,1.0,61726.22,103833.05,,P
10,2388399805425924224,13.94925,135.73545,136.450335148965,0.108011919431791,4.60998056976225,1.78121665684913,352.0414,-21.994837,17.1375999450684,16.2458000183105,15.8731002807617,15.7327995300293,15.5946998596191,16.28562,16.93848,15.514439,-99.0,1.0,0.0,19.0,-11.0486764796863,-0.950602755186481,1.0,141100.009795921,13096.9582857141,1.0,13949.25,135735.45,,P
